Contest,Candidate Issue,Party,Precinct Name,Provisional Votes,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
ATTORNEY GENERAL,Sean Shaw,DEM,571,-,-,-,-,177,63.67
ATTORNEY GENERAL,Sean Shaw,DEM,572,0,98,156,131,385,47.77
ATTORNEY GENERAL,Sean Shaw,DEM,573,0,174,281,171,626,47.10
ATTORNEY GENERAL,Sean Shaw,DEM,574,0,179,259,186,624,48.22
ATTORNEY GENERAL,Sean Shaw,DEM,575,0,252,231,189,672,42.03
ATTORNEY GENERAL,Sean Shaw,DEM,576,0,257,353,223,833,48.23
ATTORNEY GENERAL,Sean Shaw,DEM,577,0,268,315,242,825,57.65
ATTORNEY GENERAL,Sean Shaw,DEM,578,0,178,222,174,574,51.39
ATTORNEY GENERAL,Sean Shaw,DEM,579,0,312,451,260,1023,52.49
ATTORNEY GENERAL,Sean Shaw,DEM,580,-,-,-,-,86,86.87
ATTORNEY GENERAL,Sean Shaw,DEM,581,0,178,119,192,489,54.64
ATTORNEY GENERAL,Sean Shaw,DEM,582,0,549,796,218,1563,58.89
ATTORNEY GENERAL,Sean Shaw,DEM,583,0,218,394,261,873,74.62
ATTORNEY GENERAL,Sean Shaw,DEM,584,-,-,-,-,867,79.03
ATTORNEY GENERAL,Sean Shaw,DEM,585,0,118,164,155,437,93.18
ATTORNEY GENERAL,Sean Shaw,DEM,586,0,288,430,176,894,69.46
ATTORNEY GENERAL,Sean Shaw,DEM,587,-,-,-,-,1095,69.09
ATTORNEY GENERAL,Sean Shaw,DEM,588,-,-,-,-,1,100.00
ATTORNEY GENERAL,Sean Shaw,DEM,589,-,-,-,-,59,79.73
ATTORNEY GENERAL,Sean Shaw,DEM,59,0,0,0,0,0,0.00
ATTORNEY GENERAL,Sean Shaw,DEM,591,-,-,-,-,585,66.25
ATTORNEY GENERAL,Sean Shaw,DEM,592,0,126,120,141,387,54.13
ATTORNEY GENERAL,Sean Shaw,DEM,593,-,-,-,-,595,54.14
ATTORNEY GENERAL,Sean Shaw,DEM,594,0,74,99,152,325,63.48
ATTORNEY GENERAL,Sean Shaw,DEM,595,-,-,-,-,137,56.85
ATTORNEY GENERAL,Sean Shaw,DEM,596,0,198,174,204,576,47.45
ATTORNEY GENERAL,Sean Shaw,DEM,597,0,0,0,0,0,0.00
ATTORNEY GENERAL,Sean Shaw,DEM,598,0,63,44,38,145,71.43
ATTORNEY GENERAL,Sean Shaw,DEM,599,0,73,209,148,430,78.04
ATTORNEY GENERAL,Sean Shaw,DEM,6,0,148,157,123,428,39.16
ATTORNEY GENERAL,Sean Shaw,DEM,601,0,216,302,100,618,48.55
ATTORNEY GENERAL,Sean Shaw,DEM,602,0,193,232,107,532,50.19
ATTORNEY GENERAL,Sean Shaw,DEM,603,-,-,-,-,134,58.01
ATTORNEY GENERAL,Sean Shaw,DEM,604,0,309,419,231,959,61.36
ATTORNEY GENERAL,Sean Shaw,DEM,606,0,466,396,260,1122,64.04
ATTORNEY GENERAL,Sean Shaw,DEM,607,0,254,352,106,712,51.33
ATTORNEY GENERAL,Sean Shaw,DEM,608,0,228,297,139,664,45.11
ATTORNEY GENERAL,Sean Shaw,DEM,609,-,-,-,-,606,56.06
ATTORNEY GENERAL,Sean Shaw,DEM,611,0,223,265,88,576,40.31
ATTORNEY GENERAL,Sean Shaw,DEM,612,0,102,193,163,458,57.76
ATTORNEY GENERAL,Sean Shaw,DEM,613,0,177,224,110,511,49.90
ATTORNEY GENERAL,Sean Shaw,DEM,614,0,135,213,84,432,49.77
ATTORNEY GENERAL,Sean Shaw,DEM,615,0,207,220,136,563,46.57
ATTORNEY GENERAL,Sean Shaw,DEM,616,0,215,204,84,503,50.71
ATTORNEY GENERAL,Sean Shaw,DEM,617,-,-,-,-,908,40.66
ATTORNEY GENERAL,Sean Shaw,DEM,618,0,169,124,97,390,43.82
ATTORNEY GENERAL,Sean Shaw,DEM,62,0,0,0,0,0,0.00
ATTORNEY GENERAL,Sean Shaw,DEM,621,-,-,-,-,1141,73.80
ATTORNEY GENERAL,Sean Shaw,DEM,622,-,-,-,-,52,44.44
ATTORNEY GENERAL,Sean Shaw,DEM,623,0,106,98,63,267,55.28
ATTORNEY GENERAL,Sean Shaw,DEM,624,0,176,199,88,463,58.61
ATTORNEY GENERAL,Sean Shaw,DEM,625,0,296,385,198,879,61.21
ATTORNEY GENERAL,Sean Shaw,DEM,626,0,73,72,61,206,49.28
ATTORNEY GENERAL,Sean Shaw,DEM,627,0,231,333,208,772,54.06
ATTORNEY GENERAL,Sean Shaw,DEM,628,0,158,182,68,408,47.78
ATTORNEY GENERAL,Sean Shaw,DEM,630,-,-,-,-,532,49.03
ATTORNEY GENERAL,Sean Shaw,DEM,631,0,83,130,84,297,50.51
ATTORNEY GENERAL,Sean Shaw,DEM,632,-,-,-,-,801,53.33
ATTORNEY GENERAL,Sean Shaw,DEM,633,0,217,344,199,760,60.17
ATTORNEY GENERAL,Sean Shaw,DEM,634,0,49,69,62,180,93.26
ATTORNEY GENERAL,Sean Shaw,DEM,635,-,-,-,-,88,53.99
ATTORNEY GENERAL,Sean Shaw,DEM,636,0,325,568,151,1044,51.40
ATTORNEY GENERAL,Sean Shaw,DEM,640,-,-,-,-,896,64.74
ATTORNEY GENERAL,Sean Shaw,DEM,641,0,357,383,226,966,56.76
ATTORNEY GENERAL,Sean Shaw,DEM,642,0,73,99,66,238,59.50
ATTORNEY GENERAL,Sean Shaw,DEM,643,0,106,189,118,413,51.82
ATTORNEY GENERAL,Sean Shaw,DEM,644,0,85,181,73,339,62.78
ATTORNEY GENERAL,Sean Shaw,DEM,646,-,-,-,-,103,62.05
ATTORNEY GENERAL,Sean Shaw,DEM,648,-,-,-,-,39,73.58
ATTORNEY GENERAL,Sean Shaw,DEM,649,0,193,188,73,454,57.98
ATTORNEY GENERAL,Sean Shaw,DEM,650,0,50,78,40,168,55.63
ATTORNEY GENERAL,Sean Shaw,DEM,651,0,57,58,63,178,51.59
ATTORNEY GENERAL,Sean Shaw,DEM,652,0,49,87,58,194,50.39
ATTORNEY GENERAL,Sean Shaw,DEM,653,0,113,89,54,256,49.14
ATTORNEY GENERAL,Sean Shaw,DEM,655,-,-,-,-,1,50.00
ATTORNEY GENERAL,Sean Shaw,DEM,656,0,54,64,72,190,58.64
ATTORNEY GENERAL,Sean Shaw,DEM,658,0,0,0,0,0,0.00
ATTORNEY GENERAL,Sean Shaw,DEM,659,0,67,75,47,189,70.26
ATTORNEY GENERAL,Sean Shaw,DEM,667,0,95,227,106,428,53.37
ATTORNEY GENERAL,Sean Shaw,DEM,668,0,0,0,0,0,0.00
ATTORNEY GENERAL,Sean Shaw,DEM,669,0,171,135,253,559,53.54
ATTORNEY GENERAL,Sean Shaw,DEM,67,0,120,119,106,345,41.52
ATTORNEY GENERAL,Sean Shaw,DEM,670,0,249,197,204,650,42.57
ATTORNEY GENERAL,Sean Shaw,DEM,672,0,153,195,131,479,50.85
ATTORNEY GENERAL,Sean Shaw,DEM,673,0,65,89,70,224,80.00
ATTORNEY GENERAL,Sean Shaw,DEM,674,0,115,203,78,396,54.85
ATTORNEY GENERAL,Sean Shaw,DEM,68,0,0,0,0,0,0.00
ATTORNEY GENERAL,Sean Shaw,DEM,69,0,78,121,106,305,82.43
ATTORNEY GENERAL,Sean Shaw,DEM,693,0,204,231,165,600,55.92
ATTORNEY GENERAL,Sean Shaw,DEM,694,-,-,-,-,765,53.27
ATTORNEY GENERAL,Sean Shaw,DEM,695,0,285,308,165,758,49.74
ATTORNEY GENERAL,Sean Shaw,DEM,696,-,-,-,-,1049,60.95
ATTORNEY GENERAL,Sean Shaw,DEM,697,0,264,274,181,719,46.45
ATTORNEY GENERAL,Sean Shaw,DEM,699,0,125,172,209,506,59.32
ATTORNEY GENERAL,Sean Shaw,DEM,7,0,289,206,309,804,63.21
ATTORNEY GENERAL,Sean Shaw,DEM,700,0,102,147,113,362,55.18
ATTORNEY GENERAL,Sean Shaw,DEM,701,0,257,247,176,680,40.26
ATTORNEY GENERAL,Sean Shaw,DEM,702,0,247,224,166,637,43.81
ATTORNEY GENERAL,Sean Shaw,DEM,703,0,334,306,256,896,52.34
ATTORNEY GENERAL,Sean Shaw,DEM,704,0,205,141,110,456,35.29
ATTORNEY GENERAL,Sean Shaw,DEM,705,0,241,192,170,603,40.25
ATTORNEY GENERAL,Sean Shaw,DEM,706,0,235,144,151,530,35.03
ATTORNEY GENERAL,Sean Shaw,DEM,707,-,-,-,-,103,22.69
ATTORNEY GENERAL,Sean Shaw,DEM,708,-,-,-,-,511,35.31
ATTORNEY GENERAL,Sean Shaw,DEM,710,0,118,118,112,348,32.13
ATTORNEY GENERAL,Sean Shaw,DEM,711,0,364,406,241,1011,47.64
ATTORNEY GENERAL,Sean Shaw,DEM,712,0,162,113,123,398,32.12
ATTORNEY GENERAL,Sean Shaw,DEM,713,0,185,181,153,519,36.55
ATTORNEY GENERAL,Sean Shaw,DEM,714,0,145,134,122,401,31.83
ATTORNEY GENERAL,Sean Shaw,DEM,715,0,183,163,127,473,34.86
ATTORNEY GENERAL,Sean Shaw,DEM,716,0,149,122,83,354,31.24
ATTORNEY GENERAL,Sean Shaw,DEM,717,-,-,-,-,923,54.23
ATTORNEY GENERAL,Sean Shaw,DEM,718,0,221,166,119,506,36.75
ATTORNEY GENERAL,Sean Shaw,DEM,719,0,236,191,128,555,40.78
ATTORNEY GENERAL,Sean Shaw,DEM,720,0,124,164,81,369,30.65
ATTORNEY GENERAL,Sean Shaw,DEM,721,-,-,-,-,1085,49.30
ATTORNEY GENERAL,Sean Shaw,DEM,723,0,182,239,60,481,36.97
ATTORNEY GENERAL,Sean Shaw,DEM,725,0,205,187,140,532,40.61
ATTORNEY GENERAL,Sean Shaw,DEM,726,0,98,81,53,232,36.36
ATTORNEY GENERAL,Sean Shaw,DEM,727,0,147,198,146,491,53.66
ATTORNEY GENERAL,Sean Shaw,DEM,728,0,319,464,211,994,57.52
ATTORNEY GENERAL,Sean Shaw,DEM,729,0,279,274,154,707,53.52
ATTORNEY GENERAL,Sean Shaw,DEM,730,0,273,346,367,986,58.48
ATTORNEY GENERAL,Sean Shaw,DEM,731,0,166,136,139,441,38.82
ATTORNEY GENERAL,Sean Shaw,DEM,732,0,161,144,144,449,43.38
ATTORNEY GENERAL,Sean Shaw,DEM,733,0,280,308,207,795,38.20
ATTORNEY GENERAL,Sean Shaw,DEM,734,0,110,117,86,313,43.53
ATTORNEY GENERAL,Sean Shaw,DEM,735,0,241,283,178,702,47.05
ATTORNEY GENERAL,Sean Shaw,DEM,736,0,175,216,162,553,57.72
ATTORNEY GENERAL,Sean Shaw,DEM,737,0,148,298,157,603,59.82
ATTORNEY GENERAL,Sean Shaw,DEM,738,0,409,613,262,1284,60.74
ATTORNEY GENERAL,Sean Shaw,DEM,739,0,160,235,110,505,49.56
ATTORNEY GENERAL,Sean Shaw,DEM,740,0,231,274,203,708,53.84
ATTORNEY GENERAL,Sean Shaw,DEM,741,0,368,507,306,1181,58.15
ATTORNEY GENERAL,Sean Shaw,DEM,742,0,286,356,268,910,59.55
ATTORNEY GENERAL,Sean Shaw,DEM,743,0,167,180,148,495,51.72
ATTORNEY GENERAL,Sean Shaw,DEM,744,0,445,452,276,1173,49.70
ATTORNEY GENERAL,Sean Shaw,DEM,745,0,393,565,220,1178,54.66
ATTORNEY GENERAL,Sean Shaw,DEM,746,0,158,234,166,558,64.21
ATTORNEY GENERAL,Sean Shaw,DEM,747,0,239,249,138,626,57.12
ATTORNEY GENERAL,Sean Shaw,DEM,748,-,-,-,-,642,45.44
ATTORNEY GENERAL,Sean Shaw,DEM,749,0,237,331,105,673,48.42
ATTORNEY GENERAL,Sean Shaw,DEM,750,0,302,396,132,830,42.98
ATTORNEY GENERAL,Sean Shaw,DEM,751,0,135,216,92,443,39.00
ATTORNEY GENERAL,Sean Shaw,DEM,752,0,335,501,285,1121,59.22
ATTORNEY GENERAL,Sean Shaw,DEM,753,0,76,110,35,221,43.08
ATTORNEY GENERAL,Sean Shaw,DEM,754,0,255,378,155,788,51.17
ATTORNEY GENERAL,Sean Shaw,DEM,755,0,121,139,93,353,43.21
ATTORNEY GENERAL,Sean Shaw,DEM,756,0,241,359,194,794,48.74
ATTORNEY GENERAL,Sean Shaw,DEM,757,0,358,436,315,1109,58.49
ATTORNEY GENERAL,Sean Shaw,DEM,758,0,170,161,170,501,50.45
ATTORNEY GENERAL,Sean Shaw,DEM,759,-,-,-,-,581,49.28
ATTORNEY GENERAL,Sean Shaw,DEM,760,0,136,180,135,451,41.49
ATTORNEY GENERAL,Sean Shaw,DEM,761,-,-,-,-,946,55.48
ATTORNEY GENERAL,Sean Shaw,DEM,762,0,205,447,210,862,63.34
ATTORNEY GENERAL,Sean Shaw,DEM,763,0,208,175,160,543,44.69
ATTORNEY GENERAL,Sean Shaw,DEM,764,0,430,474,292,1196,46.83
ATTORNEY GENERAL,Sean Shaw,DEM,765,0,279,346,191,816,55.66
ATTORNEY GENERAL,Sean Shaw,DEM,766,-,-,-,-,929,63.50
ATTORNEY GENERAL,Sean Shaw,DEM,767,0,273,317,151,741,57.40
ATTORNEY GENERAL,Sean Shaw,DEM,768,0,65,103,47,215,53.48
ATTORNEY GENERAL,Sean Shaw,DEM,769,0,233,235,169,637,54.12
ATTORNEY GENERAL,Sean Shaw,DEM,770,-,-,-,-,624,42.74
ATTORNEY GENERAL,Sean Shaw,DEM,771,0,275,362,187,824,55.34
ATTORNEY GENERAL,Sean Shaw,DEM,772,0,267,214,194,675,48.46
ATTORNEY GENERAL,Sean Shaw,DEM,773,0,257,183,158,598,34.79
ATTORNEY GENERAL,Sean Shaw,DEM,774,0,153,240,144,537,57.99
ATTORNEY GENERAL,Sean Shaw,DEM,775,0,307,373,173,853,50.03
ATTORNEY GENERAL,Sean Shaw,DEM,776,0,365,383,208,956,56.70
ATTORNEY GENERAL,Sean Shaw,DEM,777,0,70,95,49,214,39.34
ATTORNEY GENERAL,Sean Shaw,DEM,778,-,-,-,-,120,22.18
ATTORNEY GENERAL,Sean Shaw,DEM,779,0,94,84,78,256,38.32
ATTORNEY GENERAL,Sean Shaw,DEM,781,0,72,85,40,197,35.88
ATTORNEY GENERAL,Sean Shaw,DEM,782,0,155,179,100,434,47.17
ATTORNEY GENERAL,Sean Shaw,DEM,783,0,266,352,171,789,52.71
ATTORNEY GENERAL,Sean Shaw,DEM,784,0,206,311,166,683,50.86
ATTORNEY GENERAL,Sean Shaw,DEM,785,0,111,140,99,350,57.47
ATTORNEY GENERAL,Sean Shaw,DEM,786,-,-,-,-,687,48.72
ATTORNEY GENERAL,Sean Shaw,DEM,787,-,-,-,-,49,37.69
ATTORNEY GENERAL,Sean Shaw,DEM,788,0,225,261,140,626,58.67
ATTORNEY GENERAL,Sean Shaw,DEM,789,-,-,-,-,5,13.51
ATTORNEY GENERAL,Sean Shaw,DEM,790,-,-,-,-,12,20.69
ATTORNEY GENERAL,Sean Shaw,DEM,791,0,86,106,51,243,62.79
ATTORNEY GENERAL,Sean Shaw,DEM,792,0,213,283,137,633,54.48
ATTORNEY GENERAL,Sean Shaw,DEM,793,0,204,249,123,576,50.31
ATTORNEY GENERAL,Sean Shaw,DEM,794,0,306,359,150,815,52.96
ATTORNEY GENERAL,Sean Shaw,DEM,796,-,-,-,-,29,35.37
ATTORNEY GENERAL,Sean Shaw,DEM,797,-,-,-,-,718,48.16
ATTORNEY GENERAL,Sean Shaw,DEM,798,0,406,408,314,1128,41.42
ATTORNEY GENERAL,Sean Shaw,DEM,8,0,189,151,178,518,65.65
ATTORNEY GENERAL,Sean Shaw,DEM,800,0,171,191,129,491,54.19
ATTORNEY GENERAL,Sean Shaw,DEM,801,0,355,450,248,1053,90.15
ATTORNEY GENERAL,Sean Shaw,DEM,802,0,302,461,264,1027,91.53
ATTORNEY GENERAL,Sean Shaw,DEM,803,0,308,459,288,1055,93.53
ATTORNEY GENERAL,Sean Shaw,DEM,804,0,263,305,113,681,51.16
ATTORNEY GENERAL,Sean Shaw,DEM,805,0,262,340,205,807,60.49
ATTORNEY GENERAL,Sean Shaw,DEM,806,0,236,241,160,637,58.98
ATTORNEY GENERAL,Sean Shaw,DEM,807,0,213,229,166,608,56.98
ATTORNEY GENERAL,Sean Shaw,DEM,808,0,101,124,87,312,44.32
ATTORNEY GENERAL,Sean Shaw,DEM,809,-,-,-,-,113,41.85
ATTORNEY GENERAL,Sean Shaw,DEM,810,0,420,509,267,1196,52.39
ATTORNEY GENERAL,Sean Shaw,DEM,811,0,211,332,220,763,59.70
ATTORNEY GENERAL,Sean Shaw,DEM,812,0,296,422,253,971,71.93
ATTORNEY GENERAL,Sean Shaw,DEM,813,0,554,902,473,1929,80.31
ATTORNEY GENERAL,Sean Shaw,DEM,814,0,332,525,270,1127,65.11
ATTORNEY GENERAL,Sean Shaw,DEM,815,0,186,187,176,549,57.85
ATTORNEY GENERAL,Sean Shaw,DEM,816,-,-,-,-,1225,77.68
ATTORNEY GENERAL,Sean Shaw,DEM,817,0,262,447,187,896,82.96
ATTORNEY GENERAL,Sean Shaw,DEM,818,-,-,-,-,901,94.05
ATTORNEY GENERAL,Sean Shaw,DEM,819,0,134,182,95,411,50.62
ATTORNEY GENERAL,Sean Shaw,DEM,820,0,458,518,269,1245,50.94
ATTORNEY GENERAL,Sean Shaw,DEM,821,0,302,501,295,1098,52.04
ATTORNEY GENERAL,Sean Shaw,DEM,822,-,-,-,-,665,52.08
ATTORNEY GENERAL,Sean Shaw,DEM,823,0,232,396,209,837,55.61
ATTORNEY GENERAL,Sean Shaw,DEM,824,0,130,152,159,441,54.11
ATTORNEY GENERAL,Sean Shaw,DEM,825,0,434,478,230,1142,57.27
ATTORNEY GENERAL,Sean Shaw,DEM,826,0,151,192,235,578,90.31
ATTORNEY GENERAL,Sean Shaw,DEM,827,0,247,286,217,750,67.39
ATTORNEY GENERAL,Sean Shaw,DEM,829,-,-,-,-,823,68.19
ATTORNEY GENERAL,Sean Shaw,DEM,830,0,199,316,170,685,69.61
ATTORNEY GENERAL,Sean Shaw,DEM,831,0,74,79,42,195,67.01
ATTORNEY GENERAL,Sean Shaw,DEM,832,-,-,-,-,630,66.95
ATTORNEY GENERAL,Sean Shaw,DEM,833,-,-,-,-,76,73.08
ATTORNEY GENERAL,Sean Shaw,DEM,834,-,-,-,-,23,88.46
ATTORNEY GENERAL,Sean Shaw,DEM,835,-,-,-,-,2,50.00
ATTORNEY GENERAL,Sean Shaw,DEM,836,0,0,0,0,0,0.00
ATTORNEY GENERAL,Sean Shaw,DEM,837,0,265,407,193,865,53.66
ATTORNEY GENERAL,Sean Shaw,DEM,838,0,75,95,78,248,59.19
ATTORNEY GENERAL,Sean Shaw,DEM,839,-,-,-,-,390,69.15
ATTORNEY GENERAL,Sean Shaw,DEM,840,0,162,312,136,610,58.10
ATTORNEY GENERAL,Sean Shaw,DEM,841,0,257,264,233,754,58.91
ATTORNEY GENERAL,Sean Shaw,DEM,842,-,-,-,-,123,71.10
ATTORNEY GENERAL,Sean Shaw,DEM,843,-,-,-,-,33,68.75
ATTORNEY GENERAL,Sean Shaw,DEM,844,-,-,-,-,1,50.00
ATTORNEY GENERAL,Sean Shaw,DEM,845,0,206,237,178,621,58.31
ATTORNEY GENERAL,Sean Shaw,DEM,846,0,339,302,295,936,59.69
ATTORNEY GENERAL,Sean Shaw,DEM,847,0,444,636,376,1456,60.77
ATTORNEY GENERAL,Sean Shaw,DEM,848,0,78,112,70,260,35.96
ATTORNEY GENERAL,Sean Shaw,DEM,849,0,50,153,62,265,66.92
ATTORNEY GENERAL,Sean Shaw,DEM,850,-,-,-,-,80,37.38
ATTORNEY GENERAL,Sean Shaw,DEM,851,0,230,294,199,723,77.58
ATTORNEY GENERAL,Sean Shaw,DEM,852,-,-,-,-,1,6.25
ATTORNEY GENERAL,Sean Shaw,DEM,853,0,108,129,129,366,39.65
ATTORNEY GENERAL,Sean Shaw,DEM,854,0,252,380,246,878,61.53
ATTORNEY GENERAL,Sean Shaw,DEM,856,0,361,584,323,1268,88.18
ATTORNEY GENERAL,Sean Shaw,DEM,857,0,380,483,222,1085,56.60
ATTORNEY GENERAL,Sean Shaw,DEM,858,-,-,-,-,753,51.68
ATTORNEY GENERAL,Sean Shaw,DEM,859,0,256,409,234,899,55.26
ATTORNEY GENERAL,Sean Shaw,DEM,860,-,-,-,-,384,59.53
ATTORNEY GENERAL,Sean Shaw,DEM,862,0,298,551,293,1142,65.29
ATTORNEY GENERAL,Sean Shaw,DEM,888,-,-,-,-,62,57.94
ATTORNEY GENERAL,Sean Shaw,DEM,889,0,68,146,67,281,68.54
ATTORNEY GENERAL,Sean Shaw,DEM,890,0,242,474,259,975,73.75
ATTORNEY GENERAL,Sean Shaw,DEM,891,0,345,520,249,1114,70.91
ATTORNEY GENERAL,Sean Shaw,DEM,892,-,-,-,-,55,55.00
ATTORNEY GENERAL,Sean Shaw,DEM,893,0,43,82,43,168,85.28
ATTORNEY GENERAL,Sean Shaw,DEM,894,-,-,-,-,17,77.27
ATTORNEY GENERAL,Sean Shaw,DEM,895,0,102,184,183,469,62.37
ATTORNEY GENERAL,Sean Shaw,DEM,896,-,-,-,-,21,41.18
ATTORNEY GENERAL,Sean Shaw,DEM,897,0,154,266,141,561,54.73
ATTORNEY GENERAL,Sean Shaw,DEM,9,0,351,416,412,1179,53.88
ATTORNEY GENERAL,Sean Shaw,DEM,900,0,90,108,99,297,44.07
ATTORNEY GENERAL,Sean Shaw,DEM,901,0,93,111,96,300,33.98
ATTORNEY GENERAL,Sean Shaw,DEM,903,0,300,814,398,1512,77.98
ATTORNEY GENERAL,Sean Shaw,DEM,904,-,-,-,-,1393,64.76
ATTORNEY GENERAL,Sean Shaw,DEM,905,0,62,121,80,263,67.09
ATTORNEY GENERAL,Sean Shaw,DEM,906,0,80,163,94,337,67.81
ATTORNEY GENERAL,Sean Shaw,DEM,907,0,130,173,155,458,56.97
ATTORNEY GENERAL,Sean Shaw,DEM,909,0,227,493,274,994,75.19
ATTORNEY GENERAL,Sean Shaw,DEM,910,0,217,280,254,751,61.76
ATTORNEY GENERAL,Sean Shaw,DEM,911,-,-,-,-,777,66.41
ATTORNEY GENERAL,Sean Shaw,DEM,913,0,213,385,225,823,42.51
ATTORNEY GENERAL,Sean Shaw,DEM,914,0,96,119,88,303,36.51
ATTORNEY GENERAL,Sean Shaw,DEM,915,0,142,253,166,561,48.78
ATTORNEY GENERAL,Sean Shaw,DEM,916,0,94,123,99,316,70.07
ATTORNEY GENERAL,Sean Shaw,DEM,918,0,43,72,67,182,57.41
ATTORNEY GENERAL,Sean Shaw,DEM,919,0,198,305,218,721,56.20
ATTORNEY GENERAL,Sean Shaw,DEM,920,-,-,-,-,714,84.60
ATTORNEY GENERAL,Sean Shaw,DEM,922,0,189,306,268,763,90.83
ATTORNEY GENERAL,Sean Shaw,DEM,923,-,-,-,-,75,42.61
ATTORNEY GENERAL,Sean Shaw,DEM,924,-,-,-,-,82,45.30
ATTORNEY GENERAL,Sean Shaw,DEM,926,0,109,131,107,347,50.58
ATTORNEY GENERAL,Sean Shaw,DEM,928,0,313,582,326,1221,60.42
ATTORNEY GENERAL,Sean Shaw,DEM,930,-,-,-,-,178,36.85
ATTORNEY GENERAL,Sean Shaw,DEM,931,0,68,109,108,285,60.25
ATTORNEY GENERAL,Sean Shaw,DEM,932,0,73,107,57,237,67.91
ATTORNEY GENERAL,Sean Shaw,DEM,933,-,-,-,-,2,66.67
ATTORNEY GENERAL,Sean Shaw,DEM,934,0,236,453,429,1118,61.94
ATTORNEY GENERAL,Sean Shaw,DEM,935,-,-,-,-,70,65.42
ATTORNEY GENERAL,Sean Shaw,DEM,936,0,48,78,47,173,79.00
ATTORNEY GENERAL,Sean Shaw,DEM,937,-,-,-,-,13,86.67
ATTORNEY GENERAL,Sean Shaw,DEM,938,0,0,0,0,0,0.00
ATTORNEY GENERAL,Sean Shaw,DEM,939,0,0,0,0,0,0.00
ATTORNEY GENERAL,Sean Shaw,DEM,940,0,75,85,67,227,63.59
ATTORNEY GENERAL,Sean Shaw,DEM,941,0,56,77,69,202,38.92
ATTORNEY GENERAL,Sean Shaw,DEM,942,0,33,89,44,166,78.30
ATTORNEY GENERAL,Sean Shaw,DEM,943,-,-,-,-,93,51.10
ATTORNEY GENERAL,Sean Shaw,DEM,944,0,0,0,0,0,0.00
ATTORNEY GENERAL,Sean Shaw,DEM,945,0,0,0,0,0,0.00
ATTORNEY GENERAL,Sean Shaw,DEM,947,0,368,674,388,1430,66.79
ATTORNEY GENERAL,Sean Shaw,DEM,948,0,167,339,359,865,79.43
ATTORNEY GENERAL,Sean Shaw,DEM,949,0,210,240,188,638,75.95
ATTORNEY GENERAL,Sean Shaw,DEM,950,0,0,0,0,0,0.00
ATTORNEY GENERAL,Sean Shaw,DEM,951,-,-,-,-,752,78.83
ATTORNEY GENERAL,Sean Shaw,DEM,953,0,127,212,141,480,50.00
ATTORNEY GENERAL,Sean Shaw,DEM,955,0,96,164,149,409,91.29
ATTORNEY GENERAL,Sean Shaw,DEM,957,0,85,96,121,302,49.51
ATTORNEY GENERAL,Sean Shaw,DEM,959,0,65,172,258,495,64.71
ATTORNEY GENERAL,Sean Shaw,DEM,960,0,52,52,55,159,67.95
ATTORNEY GENERAL,Sean Shaw,DEM,961,0,144,245,220,609,86.63
ATTORNEY GENERAL,Sean Shaw,DEM,963,0,69,74,75,218,51.42
ATTORNEY GENERAL,Sean Shaw,DEM,965,0,419,633,578,1630,63.75
ATTORNEY GENERAL,Sean Shaw,DEM,966,-,-,-,-,136,86.08
ATTORNEY GENERAL,Sean Shaw,DEM,967,0,62,110,116,288,65.75
ATTORNEY GENERAL,Sean Shaw,DEM,968,-,-,-,-,4,66.67
ATTORNEY GENERAL,Sean Shaw,DEM,969,0,240,389,210,839,52.24
ATTORNEY GENERAL,Sean Shaw,DEM,970,-,-,-,-,56,40.58
ATTORNEY GENERAL,Sean Shaw,DEM,971,0,68,45,65,178,41.98
ATTORNEY GENERAL,Sean Shaw,DEM,974,0,113,61,88,262,35.55
ATTORNEY GENERAL,Sean Shaw,DEM,975,-,-,-,-,117,68.82
ATTORNEY GENERAL,Sean Shaw,DEM,976,-,-,-,-,147,90.18
ATTORNEY GENERAL,Sean Shaw,DEM,978,0,108,299,178,585,91.12
ATTORNEY GENERAL,Sean Shaw,DEM,979,0,50,39,47,136,33.25
ATTORNEY GENERAL,Sean Shaw,DEM,980,0,55,49,87,191,67.02
ATTORNEY GENERAL,Sean Shaw,DEM,981,0,129,128,153,410,66.88
ATTORNEY GENERAL,Sean Shaw,DEM,982,-,-,-,-,57,67.06
ATTORNEY GENERAL,Sean Shaw,DEM,983,0,85,92,70,247,65.34
ATTORNEY GENERAL,Sean Shaw,DEM,984,0,279,535,503,1317,73.66
ATTORNEY GENERAL,Sean Shaw,DEM,985,0,30,53,36,119,76.28
ATTORNEY GENERAL,Sean Shaw,DEM,987,-,-,-,-,39,48.15
ATTORNEY GENERAL,Sean Shaw,DEM,989,-,-,-,-,3,27.27
ATTORNEY GENERAL,Sean Shaw,DEM,099,0,213,157,151,521,47.67
ATTORNEY GENERAL,Sean Shaw,DEM,990,0,0,0,0,0,0.00
ATTORNEY GENERAL,Sean Shaw,DEM,991,0,164,82,113,359,37.47
ATTORNEY GENERAL,Sean Shaw,DEM,992,-,-,-,-,29,29.29
ATTORNEY GENERAL,Sean Shaw,DEM,993,-,-,-,-,85,56.67
ATTORNEY GENERAL,Sean Shaw,DEM,994,0,58,68,81,207,45.10
ATTORNEY GENERAL,Sean Shaw,DEM,995,0,323,569,293,1185,65.29
